"YEAR","rate"
1985,3.54166666666667
1986,1.925
1987,3.66666666666667
1988,4.05833333333333
1989,4.83333333333333
1990,5.4
1991,4.25833333333333
1992,3.025
1993,2.95833333333333
1994,2.61666666666667
1995,2.80833333333333
1996,2.94166666666667
1997,2.33333333333333
1998,1.55
1999,2.19166666666667
2000,3.375
2001,2.81666666666667
2002,1.58333333333333
2003,2.275
2004,2.68333333333333
2005,3.38333333333333
2006,3.23333333333333
2007,2.86666666666667
2008,3.85
2009,-0.35
2010,1.625
2011,3.16666666666667
2012,2.08333333333333
2013,1.48333333333333
2014,1.63333333333333
2015,0.125
2016,1.26666666666667
2017,2.11666666666667
2018,2.45
2019,1.81666666666667
2020,1.23333333333333
2021,4.7
2022,8.26
